Month Name,Meter Name,Amount,Monetary Cost,Environmental Cost
6/1/2011,NG1,16629.65,12950.18,
7/1/2011,NG1,25051.79,19362.91,
8/1/2011,NG1,14503.67,11487.61,
9/1/2011,NG1,27208,19536.94,
10/1/2011,NG1,22003.31,15654.69,
11/1/2011,NG1,15121.6,10722.39,
12/1/2011,NG1,2596.12,2263.29,
1/1/2012,NG1,86199.84,57307.68,
2/1/2012,NG1,6782,4561.62,
3/1/2012,NG1,1939.39,1618.65,
4/1/2012,NG1,1662.34,1418.81,
5/1/2012,NG1,76755.94,41045.76,
6/1/2012,NG1,16641.93,10032.78,
7/1/2012,NG1,16309,10473.45,
8/1/2012,NG1,50323.44,32567.79,
9/1/2012,NG1,34990.43,21325.43,
10/1/2012,NG1,45918.78,29819.87,
11/1/2012,NG1,14955.16,10773.03,
12/1/2012,NG1,79079.75,55434.45,
1/1/2013,NG1,166119.55,108503.86,
2/1/2013,NG1,84230.55,55842.4,
3/1/2013,NG1,46463.34,31592.69,
4/1/2013,NG1,8897.35,6856.87,
5/1/2013,NG1,26005.19,19522.43,
6/1/2013,NG1,120392,88780.91,
7/1/2013,NG1,120585.06,82991.35,
8/1/2013,NG1,161677.48,104854.62,
9/1/2013,NG1,167524.88,110645.88,
10/1/2013,NG1,95543.66,62030.62,
11/1/2013,NG1,90444.96,58206.98,
12/1/2013,NG1,135330.35,91513.95,
1/1/2014,NG1,125583.33,96351.61,
2/1/2014,NG1,150136.45,133376.91,
3/1/2014,NG1,96244.73,78392.78,
4/1/2014,NG1,119610.32,90612.3,
5/1/2014,NG1,104511.09,81611,
6/1/2014,NG1,118867.35,89627.5,
7/1/2014,NG1,14180,10836,
8/1/2014,NG1,20028,13811,
9/1/2014,NG1,39542,27384,
10/1/2014,NG1,95456,66040,
11/1/2014,NG1,108002,73989,
12/1/2014,NG1,50537,38184,
1/1/2015,NG1,117502,75876,
2/1/2015,NG1,81052,49688,
3/1/2015,NG1,81975,48302,
4/1/2015,NG1,16711,9544,
5/1/2015,NG1,130284,69852,
6/1/2015,NG1,108236,60417,
7/1/2015,NG1,1121555.2,,
9/1/2016,NG1,81285.74,50891.62,
10/1/2016,NG1,89108.53,56964.66,
11/1/2016,NG1,66105.76,41072.19,
12/1/2016,NG1,205579.62,136857.21,
1/1/2017,NG1,332327.15,199905.41,
2/1/2017,NG1,270702.77,182991.49,
3/1/2017,NG1,228282.96,135675.27,
4/1/2017,NG1,52526.29,34706.11,
5/1/2017,NG1,86650.4,55730.75,
6/1/2017,NG1,70815.06,46813.57,
7/1/2017,NG1,95724.43,61423.96,
8/1/2017,NG1,111309.96,70186.02,
9/1/2017,NG1,154562.96,92278.66,
10/1/2017,NG1,83294.19,52484.51,
11/1/2017,NG1,80742.14,49803.47,
12/1/2017,NG1,99718.19,65537.29,
1/1/2018,NG1,95568.58,58732.97,
2/1/2018,NG1,78824.58,56206.68,
3/1/2018,NG1,194525.81,116813.22,
4/1/2018,NG1,186627.43,112337.17,
